number,created_at,html_url,state,fixed_at,dismissed_by,dismissed_at,dismissed_reason,rule_id,rule_severity,security_severity_level,rule_tags,rule_description,rule_name,tool_name,tool_version,most_recent_instance_ref,most_recent_instance_state,most_recent_instance_sha,instances_url
89,2025-01-25T14:49:50Z,https://github.com/mgil-md/juice-shop/security/code-scanning/89,open,,,,,js/clear-text-logging,error,high,"['external/cwe/cwe-312', 'external/cwe/cwe-359', 'external/cwe/cwe-532', 'security']",Clear-text logging of sensitive information,js/clear-text-logging,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/89/instances
88,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/88,open,,,,,js/insufficient-password-hash,warning,high,"['external/cwe/cwe-916', 'security']",Use of password hash with insufficient computational effort,js/insufficient-password-hash,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/88/instances
87,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/87,open,,,,,js/prototype-polluting-assignment,warning,medium,"['external/cwe/cwe-078', 'external/cwe/cwe-079', 'external/cwe/cwe-094', 'external/cwe/cwe-400', 'external/cwe/cwe-471', 'external/cwe/cwe-915', 'security']",Prototype-polluting assignment,js/prototype-polluting-assignment,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/87/instances
86,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/86,open,,,,,js/server-crash,warning,high,"['external/cwe/cwe-248', 'external/cwe/cwe-730', 'security']",Server crash,js/server-crash,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/86/instances
85,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/85,open,,,,,js/server-crash,warning,high,"['external/cwe/cwe-248', 'external/cwe/cwe-730', 'security']",Server crash,js/server-crash,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/85/instances
84,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/84,open,,,,,js/code-injection,error,critical,"['external/cwe/cwe-079', 'external/cwe/cwe-094', 'external/cwe/cwe-095', 'external/cwe/cwe-116', 'security']",Code injection,js/code-injection,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/84/instances
83,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/83,open,,,,,js/code-injection,error,critical,"['external/cwe/cwe-079', 'external/cwe/cwe-094', 'external/cwe/cwe-095', 'external/cwe/cwe-116', 'security']",Code injection,js/code-injection,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/83/instances
82,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/82,open,,,,,js/zipslip,error,high,"['external/cwe/cwe-022', 'security']","Arbitrary file access during archive extraction (""Zip Slip"")",js/zipslip,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/82/instances
81,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/81,open,,,,,js/path-injection,error,high,"['external/cwe/cwe-022', 'external/cwe/cwe-023', 'external/cwe/cwe-036', 'external/cwe/cwe-073', 'external/cwe/cwe-099', 'security']",Uncontrolled data used in path expression,js/path-injection,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/81/instances
80,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/80,open,,,,,js/path-injection,error,high,"['external/cwe/cwe-022', 'external/cwe/cwe-023', 'external/cwe/cwe-036', 'external/cwe/cwe-073', 'external/cwe/cwe-099', 'security']",Uncontrolled data used in path expression,js/path-injection,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/80/instances
